review_id,status,name,code,review_type,target,issue,comparison,first_detected,last_detected,resolved_at,operator_memo,event_id
490470-데이터확인,미해결,세미파이브,490470,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%84%B8%EB%AF%B8%ED%8C%8C%EC%9D%B4%EB%B8%8C (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af42a8d0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-03 13:37:40,2026-08-21 12:48:42,,다음 배치에서 자동 재시도됨,
491000-데이터확인,미해결,리브스메드,491000,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%A6%AC%EB%B8%8C%EC%8A%A4%EB%A9%94%EB%93%9C (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0a7d6b770>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 15:32:41,2026-08-21 12:48:11,,다음 배치에서 자동 재시도됨,
0013V0-데이터확인,미해결,삼진식품,0013V0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%82%BC%EC%A7%84%EC%8B%9D%ED%92%88 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d77ab70>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 20:26:23,2026-08-21 12:47:41,,candidate_tables=0,
476830-데이터확인,미해결,알지노믹스,476830,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%95%8C%EC%A7%80%EB%85%B8%EB%AF%B9%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0aeec3680>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:17:12,2026-08-21 12:47:10,,다음 배치에서 자동 재시도됨,
478340-데이터확인,미해결,나라스페이스테크놀로지,478340,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%82%98%EB%9D%BC%EC%8A%A4%ED%8E%98%EC%9D%B4%EC%8A%A4%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af473200>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 17:01:33,2026-08-21 12:46:40,,다음 배치에서 자동 재시도됨,
0007C0-데이터확인,미해결,아크릴,0007C0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%95%84%ED%81%AC%EB%A6%B4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af1de990>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:16:11,2026-08-21 12:46:10,,다음 배치에서 자동 재시도됨,
217590-데이터확인,미해결,티엠씨,217590,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%ED%8B%B0%EC%97%A0%EC%94%A8 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e5880>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 15:27:36,2026-08-21 12:45:39,,다음 배치에서 자동 재시도됨,
464490-데이터확인,미해결,쿼드메디슨,464490,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%BF%BC%EB%93%9C%EB%A9%94%EB%94%94%EC%8A%A8 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0a9f71fa0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:15:11,2026-08-21 12:45:09,,다음 배치에서 자동 재시도됨,
0015S0-데이터확인,미해결,페스카로,0015S0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%ED%8E%98%EC%8A%A4%EC%B9%B4%EB%A1%9C (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0af1c0f20>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:14:11,2026-08-21 12:44:07,,다음 배치에서 자동 재시도됨,
950250-데이터확인,미해결,테라뷰,950250,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%ED%85%8C%EB%9D%BC%EB%B7%B0 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e5e50>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-16 16:06:31,2026-08-21 12:43:37,,candidate_tables=0,
